,Gene,variance,SD
5965,FNDC4,0.011862375,0.108914529
5966,FNDC5,0.015547413,0.124689266
5967,FNDC7,0.066666714,0.258198981
5968,FNDC8,0.047165084,0.217175238
5969,FNDC9,0.041267794,0.203144761
5970,FNIP1,0.041585562,0.203925382
5971,FNIP2,0.184342639,0.429351416
5972,FNTA,0.036003112,0.18974486
5973,FNTB,0.043177346,0.207791592
5974,FOCAD,0.016249117,0.127472026
5975,FOLH1,0.017045979,0.13056025
5976,FOLH1B,0.09217692,0.303606521
5977,FOLR1,0.023534394,0.153409236
5978,FOLR2,0.035636439,0.188776161
5979,FOLR3,0.037678999,0.19411079
5980,FOS,0.035460952,0.188310786
5981,FOSB,0.017886863,0.133741778
5982,FOSL1,0.050267144,0.224203354
5983,FOSL2,0.087809379,0.296326474
5984,FOXA1,0.028868917,0.169908555
5985,FOXA2,0.024916723,0.157850319
5986,FOXA3,0.023423401,0.153047055
5987,FOXB1,0.152278001,0.39022814
5988,FOXB2,0.056703431,0.238124823
5989,FOXC1,0.074470126,0.272892151
5990,FOXC2,0.030896723,0.175774637
5991,FOXD1,0.018198178,0.134900621
5992,FOXD2,0.043513241,0.208598277
5993,FOXD2-AS1,0.016354853,0.127886094
5994,FOXD3,0.040849305,0.20211211
5995,FOXD4,0.029619215,0.17210234
5996,FOXD4L1,0.143304796,0.3785562
5997,FOXD4L3,0.049116478,0.221622377
5998,FOXD4L4,0.073800979,0.271663357
5999,FOXD4L5,0.034739175,0.186384481
6000,FOXD4L6,0.029001821,0.170299211
6001,FOXE1,0.164442917,0.405515619
6002,FOXE3,0.027972186,0.167248874
6003,FOXF1,0.058255186,0.241361111
6004,FOXF2,0.042359432,0.205814072
6005,FOXG1,0.043386619,0.208294548
6006,FOXH1,0.038724026,0.196784211
6007,FOXI1,0.04723371,0.217333177
6008,FOXI2,0.006762797,0.082236225
6009,FOXI3,0.0303338,0.174166012
6010,FOXJ1,0.034445345,0.185594573
6011,FOXJ2,0.025852328,0.160786591
6012,FOXJ3,0.077482491,0.27835677
6013,FOXK1,0.072458054,0.269180337
6014,FOXK2,0.046546952,0.215747427
6015,FOXL1,0.049176288,0.221757274
6016,FOXL2,0.015266622,0.123558171
6017,FOXL2NB,0.046975197,0.216737623
6018,FOXM1,0.021014349,0.144963269
6019,FOXN1,0.056357354,0.237397038
6020,FOXN2,0.019664245,0.140229259
6021,FOXN3,0.027925598,0.167109538
6022,FOXN3-AS1,0.051074043,0.225995671
6023,FOXN3-AS2,0.036453275,0.190927407
6024,FOXN4,0.024484838,0.156476317
6025,FOXO1,0.048658445,0.220586593
6026,FOXO3,0.011420692,0.106867638
6027,FOXO3B,0.079420014,0.281815567
6028,FOXO4,0.039080174,0.197687061
6029,FOXO6,0.04890394,0.221142353
6030,FOXP1,0.065746162,0.256410145
6031,FOXP2,0.035082827,0.187304103
6032,FOXP3,0.063320869,0.251636382
6033,FOXP4,0.024515565,0.156574472
6034,FOXQ1,0.021950575,0.148157264
6035,FOXR1,0.046024646,0.214533554
6036,FOXR2,0.032557823,0.180437865
6037,FOXRED1,0.035963404,0.189640196
6038,FOXRED2,0.04434637,0.210585779
6039,FOXS1,0.033145243,0.182058351
6040,FPGS,0.035717818,0.188991582
6041,FPGT,0.026263167,0.162059146
6042,FPGT-TNNI3K,0.044537446,0.211038967
6043,FPR1,0.034115395,0.184703532
6044,FPR2,0.023187114,0.152273156
6045,FPR3,0.042067976,0.205104793
6046,FRA10AC1,0.033678776,0.183517782
6047,FRAS1,0.014825347,0.12175938
6048,FRAT1,0.038001977,0.194940958
6049,FRAT2,0.038921933,0.197286424
6050,FREM1,0.038176533,0.195388159
6051,FREM2,0.035498623,0.188410782
6052,FREM3,0.016305483,0.127692927
6053,FRG1,0.012204045,0.110471919
6054,FRG2,0.026278193,0.162105501
6055,FRG2B,0.01233453,0.111060928
6056,FRG2C,0.030369281,0.174267842
6057,FRK,0.040645681,0.201607742
6058,FRMD1,0.015034529,0.122615371
6059,FRMD3,0.0299652,0.173104592
6060,FRMD4A,0.145533681,0.38148877
6061,FRMD4B,0.137571077,0.370905753
6062,FRMD5,0.166762823,0.40836604
6063,FRMD6,0.039693891,0.199233257
6064,FRMD6-AS1,0.014363358,0.119847227
6065,FRMD6-AS2,0.119817797,0.346147074
6066,FRMD7,0.021875162,0.147902542
6067,FRMD8,0.085820654,0.292951625
6068,FRMD8P1,0.027513168,0.165870939
6069,FRMPD1,0.018056744,0.134375386
6070,FRMPD2,0.03698887,0.192324907
6071,FRMPD3,0.038582579,0.196424486
6072,FRMPD3-AS1,0.050212975,0.224082518
6073,FRMPD4,0.021432416,0.146398141
